"country","election_date","seats","p_name","lr_pos"
"Poland","2019-10-13",235,"Law and Justice",7.6997
"Portugal","2019-10-06",108,"Socialist Party",4.0492
"Romania","2016-12-11",69,"National Liberal Party",6.0543
"Slovakia","2020-02-29",53,"Ordinary People and Independent",7.4
"Slovakia","2020-02-29",17,"We are family -- Boris Kollar",8.8
"Slovakia","2020-02-29",13,"Freedom and Solidarity",6
"Slovakia","2020-02-29",12,"For the People",6
"Slovenia","2018-06-03",5,"Democratic Party of Pensioners of Slovenia",3.2292
"Slovenia","2018-06-03",7,"New Slovenia -- Christian People's Party",7.9345
"Slovenia","2018-06-03",25,"Slovenian Democratic Party",6.9996
"Slovenia","2018-06-03",10,"Party of Miro Cerar",3.3
"Sweden","2018-09-09",16,"Greens",3.3789
"Sweden","2018-09-09",100,"Social Democrats",3.4447
"Turkey","2018-06-24",295,"Justice and Development Party",6.9873
