Country_name,ISO3,REGION,Measure_taxonomy,Measure_Category,SOURCE_TYPE,Enforcement_taxonomy,Log_type
Iran,IRN,Middle East,NA,NA,NA,NA,NA
Iraq,IRQ,Middle East,NA,NA,NA,NA,NA
Ireland,IRL,Europe,NA,NA,NA,NA,NA
Israel,ISR,Middle East,NA,NA,NA,NA,NA
Italy,ITA,Europe,NA,NA,NA,NA,NA
Jamaica,JAM,Americas,NA,NA,NA,NA,NA
Japan,JPN,Asia,NA,NA,NA,NA,NA
Jordan,JOR,Middle East,NA,NA,NA,NA,NA
Kazakhstan,KAZ,Asia,NA,NA,NA,NA,NA
Kenya,KEN,Africa,NA,NA,NA,NA,NA
Kiribati,KIR,Pacific,NA,NA,NA,NA,NA
Korea DPR,PRK,Asia,NA,NA,NA,NA,NA
Korea Republic of,KOR,Asia,NA,NA,NA,NA,NA
Kuwait,KWT,Middle East,NA,NA,NA,NA,NA
Kyrgyzstan,KGZ,Asia,NA,NA,NA,NA,NA
Lao PDR,LAO,Asia,NA,NA,NA,NA,NA
Latvia,LVA,Europe,NA,NA,NA,NA,NA
Lebanon,LBN,Middle East,NA,NA,NA,NA,NA
Lesotho,LSO,Africa,NA,NA,NA,NA,NA
Liberia,LBR,Africa,NA,NA,NA,NA,NA
Libya,LBY,Africa,NA,NA,NA,NA,NA
Liechtenstein,LIE,Europe,NA,NA,NA,NA,NA
Lithuania,LTU,Europe,NA,NA,NA,NA,NA
Luxembourg,LUX,Europe,NA,NA,NA,NA,NA
Madagascar,MDG,Africa,NA,NA,NA,NA,NA
Malawi,MWI,Africa,NA,NA,NA,NA,NA
Malaysia,MYS,Asia,NA,NA,NA,NA,NA
Maldives,MDV,Asia,NA,NA,NA,NA,NA
Mali,MLI,Africa,NA,NA,NA,NA,NA
Malta,MLT,Europe,NA,NA,NA,NA,NA
Marshall Islands,MHL,Pacific,NA,NA,NA,NA,NA
Mauritania,MRT,Africa,NA,NA,NA,NA,NA
Mauritius,MUS,Africa,NA,NA,NA,NA,NA
Mexico,MEX,Americas,NA,NA,NA,NA,NA
Micronesia,FSM,Pacific,NA,NA,NA,NA,NA
Moldova Republic of,MDA,Europe,NA,NA,NA,NA,NA
Mongolia,MNG,Asia,NA,NA,NA,NA,NA
Montenegro,MNE,Europe,NA,NA,NA,NA,NA
Morocco,MAR,Africa,NA,NA,NA,NA,NA
Mozambique,MOZ,Africa,NA,NA,NA,NA,NA
Myanmar,MMR,Asia,NA,NA,NA,NA,NA
Namibia,NAM,Africa,NA,NA,NA,NA,NA
Nauru,NRU,Pacific,NA,NA,NA,NA,NA
Nepal,NPL,Asia,NA,NA,NA,NA,NA
Netherlands,NLD,Europe,NA,NA,NA,NA,NA
New Zealand,NZL,Pacific,NA,NA,NA,NA,NA
Nicaragua,NIC,Americas,NA,NA,NA,NA,NA
Niger,NER,Africa,NA,NA,NA,NA,NA
Nigeria,NGA,Africa,NA,NA,NA,NA,NA
Norway,NOR,Europe,NA,NA,NA,NA,NA
Oman,OMN,Middle East,NA,NA,NA,NA,NA
Pakistan,PAK,Asia,NA,NA,NA,NA,NA
Palau,PLW,Pacific,NA,NA,NA,NA,NA
Palestine,PSE,Middle East,NA,NA,NA,NA,NA
Panama,PAN,Americas,NA,NA,NA,NA,NA
Papua New Guinea,PNG,Pacific,NA,NA,NA,NA,NA
Paraguay,PRY,Americas,NA,NA,NA,NA,NA
Peru,PER,Americas,NA,NA,NA,NA,NA
Philippines,PHL,Asia,NA,NA,NA,NA,NA
Poland,POL,Europe,NA,NA,NA,NA,NA
Portugal,PRT,Europe,NA,NA,NA,NA,NA
Qatar,QAT,Middle East,NA,NA,NA,NA,NA
Romania,ROU,Europe,NA,NA,NA,NA,NA
Russian Federation,RUS,Europe,NA,NA,NA,NA,NA
Rwanda,RWA,Africa,NA,NA,NA,NA,NA
Saint Kitts and Nevis,KNA,Americas,NA,NA,NA,NA,NA
Saint Lucia,LCA,Americas,NA,NA,NA,NA,NA
Saint Vincent and the Grenadines,VCT,Americas,NA,NA,NA,NA,NA
Samoa,WSM,Pacific,NA,NA,NA,NA,NA
Sao Tome and Principe,STP,Africa,NA,NA,NA,NA,NA
Saudi Arabia,SAU,Middle East,NA,NA,NA,NA,NA
Senegal,SEN,Africa,NA,NA,NA,NA,NA
Serbia,SRB,Europe,NA,NA,NA,NA,NA
Seychelles,SYC,Africa,NA,NA,NA,NA,NA
Sierra Leone,SLE,Africa,NA,NA,NA,NA,NA
Singapore,SGP,Asia,NA,NA,NA,NA,NA
Slovakia,SVK,Europe,NA,NA,NA,NA,NA
Slovenia,SVN,Europe,NA,NA,NA,NA,NA
Solomon Islands,SLB,Pacific,NA,NA,NA,NA,NA
Somalia,SOM,Africa,NA,NA,NA,NA,NA
South Africa,ZAF,Africa,NA,NA,NA,NA,NA
South Sudan,SSD,Africa,NA,NA,NA,NA,NA
Spain,ESP,Europe,NA,NA,NA,NA,NA
Sri Lanka,LKA,Asia,NA,NA,NA,NA,NA
Sudan,SDN,Africa,NA,NA,NA,NA,NA
Suriname,SUR,Americas,NA,NA,NA,NA,NA
Eswatini,SWZ,Africa,NA,NA,NA,NA,NA
Sweden,SWE,Europe,NA,NA,NA,NA,NA
Switzerland,CHE,Europe,NA,NA,NA,NA,NA
Syria,SYR,Middle East,NA,NA,NA,NA,NA
Tajikistan,TJK,Asia,NA,NA,NA,NA,NA
Tanzania,TZA,Africa,NA,NA,NA,NA,NA
Thailand,THA,Asia,NA,NA,NA,NA,NA
North Macedonia Republic Of,MKD,Europe,NA,NA,NA,NA,NA
Timor-Leste,TLS,Asia,NA,NA,NA,NA,NA
Togo,TGO,Africa,NA,NA,NA,NA,NA
Tonga,TON,Pacific,NA,NA,NA,NA,NA
Trinidad and Tobago,TTO,Americas,NA,NA,NA,NA,NA
Tunisia,TUN,Africa,NA,NA,NA,NA,NA
Turkey,TUR,Middle East,NA,NA,NA,NA,NA
Turkmenistan,TKM,Asia,NA,NA,NA,NA,NA
Tuvalu,TUV,Pacific,NA,NA,NA,NA,NA
Uganda,UGA,Africa,NA,NA,NA,NA,NA
Ukraine,UKR,Europe,NA,NA,NA,NA,NA
United Arab Emirates,ARE,Middle East,NA,NA,NA,NA,NA
United Kingdom,GBR,Europe,NA,NA,NA,NA,NA
United States of America,USA,Americas,NA,NA,NA,NA,NA
Uruguay,URY,Americas,NA,NA,NA,NA,NA
Uzbekistan,UZB,Asia,NA,NA,NA,NA,NA
Vanuatu,VUT,Pacific,NA,NA,NA,NA,NA
Venezuela,VEN,Americas,NA,NA,NA,NA,NA
Viet Nam,VNM,Asia,NA,NA,NA,NA,NA
Yemen,YEM,Middle East,NA,NA,NA,NA,NA
Zambia,ZMB,Africa,NA,NA,NA,NA,NA
Zimbabwe,ZWE,Africa,NA,NA,NA,NA,NA
San Marino,SMR,Europe,NA,NA,NA,NA,NA
"China, Hong Kong Special Administrative Region",HKG,Asia,NA,NA,NA,NA,NA
